$\ddot x^0$,$\ddot y^0$,$\omega_z^0$,$\ddot x^1$,$\ddot y^1$,$\omega_z^1$,$\ddot x^2$,$\ddot y^2$,$\omega_z^2$,$\ddot x^3$,$\ddot y^3$,$\omega_z^3$,$\dot x^4$,$\dot y^4$,$\ddot x^4$,$\ddot y^4$,$\dot x^5$,$\dot y^5$,$\ddot x^5$,$\ddot y^5$
-1.926745295635246213e+00,1.088795547894888927e+01,1.624034832616890300e+00,-6.342725062773519440e+00,7.831181816892216929e+00,-4.643544326277913026e-01,1.779429562357881300e+00,9.204667293855655075e+00,-5.466455393495990300e-01,-8.803561655008509956e-02,9.610611369619041611e+00,-5.066101886918158437e-01,1.137394723980229561e+00,3.152120883208756608e-01,-8.810747375066291243e-02,-7.721747828068019626e-01,2.790615257745043820e-04,5.473187995290174079e-04,-3.607132044622929357e-03,-2.912871958710185061e-02
-1.713399289661750480e+00,1.073611892944992618e+01,1.556982165241844074e+00,-6.481907747712525314e+00,7.991798308498253789e+00,-3.568630461349258653e-01,1.739850071463356684e+00,9.630133815808536113e+00,-6.281581430765970087e-01,3.120257465848162021e-02,9.659146588027976321e+00,-4.589171336826577963e-01,1.136591341366828711e+00,3.072364269379379564e-01,-7.171181021648359577e-02,-8.150813211186749285e-01,1.906688318220606249e-04,3.471481959217703750e-04,-1.408914744417069653e-02,-1.043589422409577083e-02
-9.271006398055898767e-01,1.033615019876089036e+01,1.448812787613749986e+00,-6.052734610624667333e+00,7.702422948996396457e+00,-3.107230461979609837e-01,2.442566775095718068e+00,8.958924170061447256e+00,-6.266037307837727388e-01,3.203460731240346804e-01,9.715127103895623506e+00,-4.032346053297975463e-01,1.135972871512167970e+00,2.990535640597749567e-01,-5.189038231440359916e-02,-8.142830932309526037e-01,7.377695448229637520e-06,3.250508766749760081e-04,-2.145685540980139805e-02,3.988008554620121882e-03
-4.925318985961735785e-01,1.009915577014241705e+01,1.410859657847151283e+00,-5.413970016974308130e+00,7.716572659303277959e+00,-2.502621322141236337e-01,3.169852041681301635e+00,9.054431781205821039e+00,-6.820865486148742773e-01,9.278709660699100414e-01,9.798465777293783319e+00,-4.260686159165099074e-01,1.135554474903057276e+00,2.910922689536860064e-01,-3.235868565781853390e-02,-7.737127071059071159e-01,-2.158065638633299699e-04,3.971921611642115213e-04,-2.214539413456141637e-02,8.839598878076712629e-03
2.453564566496777288e-01,9.620485555629523233e+00,1.381335976275397170e+00,-5.189876731318728176e+00,8.021136138635664992e+00,-2.077942067428687756e-01,3.280695715571178450e+00,9.039312343728239441e+00,-6.827245802204299219e-01,9.494136793195224744e-01,1.006630902260887872e+01,-4.243956054528130739e-01,1.135317588523779619e+00,2.836668583340772876e-01,-1.597768464037185865e-02,-7.113279212206301549e-01,-4.145941848266998520e-04,4.683941296634297480e-04,-1.707253676421213728e-02,4.334462288455964707e-03
8.743301458596459685e-01,9.799896565124921466e+00,1.317794380234021734e+00,-4.837984310285114553e+00,8.019462334115058155e+00,-1.854934209165280401e-01,3.595449434013879397e+00,8.991333611910572898e+00,-5.981887916679915485e-01,1.642722479008276171e+00,9.377304526980605459e+00,-4.417624013857008869e-01,1.135223369540623750e+00,2.768954278484576093e-01,-3.920907125315328812e-03,-6.456365117952131971e-01,-5.476244869838664542e-04,4.706969962657986395e-04,-9.538115033077360083e-03,-3.759098548012963781e-03
9.612038609832632696e-01,9.336696439745269416e+00,1.345191040471490185e+00,-4.902102671402614575e+00,8.441226893336553516e+00,-2.025818763857962779e-01,3.989978945942567190e+00,8.522959515825908383e+00,-5.638134856057773758e-01,1.464049886619146701e+00,9.435798356909250728e+00,-4.737224131689896645e-01,1.135227417185101118e+00,2.707522353857223507e-01,3.702453496990373849e-03,-5.865552448479206538e-01,-6.038488450827994569e-04,4.001464024104561812e-04,-1.948649961135029418e-03,-9.294467454133460704e-03
1.090640351364333016e+00,9.592251211547605294e+00,1.316578157804781490e+00,-4.669727983023926221e+00,8.341856301111542749e+00,-1.421568474487492906e-01,4.256428723289878313e+00,8.753588029494176581e+00,-5.598491351098211499e-01,1.745488798131075825e+00,9.473896724814041548e+00,-5.371663974142071307e-01,1.135286193625480777e+00,2.651524492913063247e-01,7.107263909478467312e-03,-5.371747173825696109e-01,-5.871039300693325913e-04,3.001631740678079030e-04,5.043508284427358768e-03,-9.480718454179372021e-03
1.212257017456040975e+00,9.667829130966742568e+00,1.295669498683128529e+00,-5.004578829717854838e+00,8.504258960398898282e+00,-1.364861232132300872e-01,4.062785465110854588e+00,8.987233144544525487e+00,-5.496725997667476493e-01,1.862833553519851248e+00,9.916947852384321749e+00,-5.387540406814164129e-01,1.135360497060428298e+00,2.599836639455174181e-01,7.033376052866219252e-03,-5.011354311328043432e-01,-5.051665580048103621e-04,2.235648295563774646e-04,1.109342011113315790e-02,-5.667100412391056635e-03
1.423091108668725235e+00,9.706609738070357096e+00,1.291048954867351606e+00,-4.753924421916865484e+00,8.133344858235870944e+00,-1.126622661304300249e-01,2.761871377273551253e+00,9.102598116233782122e+00,-4.801130518005986003e-01,1.474290818604528708e+00,9.863712762247816457e+00,-5.777074519844362932e-01,1.135423546779315007e+00,2.550776419685408247e-01,5.236102283001947688e-03,-4.853812423460327485e-01,-3.731584264411447194e-04,1.915135992569400036e-04,1.486356820406400242e-02,-1.334287869475772603e-03
1.446821058801810889e+00,9.933368426628950587e+00,1.274137461308861852e+00,-5.077274838649857180e+00,8.042369127930566464e+00,-1.317908277571327447e-01,2.832651476314491212e+00,8.889276632722927118e+00,-4.593261273269029221e-01,9.360810431704346124e-01,9.735513993719402848e+00,-5.517720759179814971e-01,1.135468468749025517e+00,2.502073169331026081e-01,3.691544638565191772e-03,-4.933199161316564330e-01,-2.200817590564119186e-04,1.907782400194929506e-04,1.518998533708708354e-02,9.203591012119510806e-04
1.544777151695509332e+00,9.747876539597086776e+00,1.224161097221582617e+00,-4.882919760020468125e+00,8.095659809777766114e+00,-8.202227039816618881e-02,2.283709305759703767e+00,9.260047283419170938e+00,-4.707031242054364184e-01,6.381677242289706120e-01,9.720870356843388294e+00,-6.029832505922041452e-01,1.135503414024114477e+00,2.451549288826709305e-01,3.354130495934425776e-03,-5.203937145370461925e-01,-7.986994239728151257e-05,2.001725917487040540e-04,1.243450739954356232e-02,8.014036818460232303e-04
1.167179152036195378e+00,9.969009347756861317e+00,1.228721608228376949e+00,-5.213592917434159979e+00,8.165830425187815322e+00,-2.476833829075653082e-02,1.768716063293123586e+00,9.189615796221630717e+00,-4.351635892827769858e-01,2.861636887492000070e-02,9.760507702450247791e+00,-5.701700105659693874e-01,1.135542287079942980e+00,2.397621050082737182e-01,4.505009675512067213e-03,-5.600786594200271029e-01,2.078864801702273724e-05,1.993740197796245450e-04,7.459509736969648086e-03,-1.057665771864155224e-03
1.072558808595845958e+00,9.923690474720059385e+00,1.224260210351477918e+00,-5.141169500006887993e+00,7.890056443514088969e+00,-2.408856873809272700e-02,1.774674038668135889e+00,9.129997747257856844e+00,-4.881669280737834238e-01,-2.154338362660870865e-01,9.462825597883659512e+00,-5.660420090669409099e-01,1.135598993108088539e+00,2.339369519186386692e-01,6.848039055830600769e-03,-6.055861272676286156e-01,6.484288568398000052e-05,1.779701688756490929e-04,1.313843994205587951e-03,-3.094001291665898767e-03
1.748463192620695050e+00,9.591891920677417360e+00,1.179358037519052660e+00,-5.090555423003629620e+00,8.360173218345986257e+00,-1.794062701385014391e-02,1.846133940937908280e+00,9.326755464612919155e+00,-4.670143245108787644e-01,-2.386457028936596614e-01,9.534748794534978700e+00,-5.317077458603786111e-01,1.135681648339062377e+00,2.276540743384904419e-01,9.529872554510697771e-03,-6.505404693666797522e-01,4.717160652101259899e-05,1.411721445292446475e-04,-4.612977573546658827e-03,-4.171434719336878164e-03
2.183108731682531722e+00,9.717217209154762614e+00,1.160763619318106565e+00,-4.871288018519569718e+00,8.171327454727210338e+00,2.944819816293001852e-02,2.154394457653362682e+00,9.546281530424071349e+00,-5.327693333616266846e-01,-6.903686749530796307e-02,1.016306969030770624e+01,-5.438580617417401175e-01,1.135786943187443887e+00,2.209484462872020327e-01,1.109679767256116154e-02,-6.891706181102181805e-01,-2.076918646909398092e-05,9.690030417791595241e-05,-8.366019513218789228e-03,-4.919252369962672303e-03
1.919611857052744064e+00,9.397608747760592962e+00,1.119575589268491767e+00,-4.780081084590330320e+00,7.963589917805243168e+00,5.573681914965152723e-02,2.354336197152783416e+00,9.104779389439691784e+00,-5.359181839118491997e-01,5.164286249811238516e-01,9.906707470934065896e+00,-5.195149537730558986e-01,1.135895500144004311e+00,2.139058393496825472e-01,1.003444592135865551e-02,-7.176525226998814455e-01,-1.076247357619797285e-04,4.193704877054893476e-05,-8.331518932385491294e-03,-6.047398646302974516e-03
2.190651801734210480e+00,9.533013325314843911e+00,1.079484671894637593e+00,-4.744815316223549573e+00,7.949365300854025485e+00,7.103733329798504748e-02,2.552159427081916565e+00,9.119544793921990689e+00,-4.980200164961000597e-01,5.398004316530575775e-01,9.986230352338472116e+00,-5.479710343846179166e-01,1.135979671503210220e+00,2.066244417663138100e-01,6.277141187844639120e-03,-7.373044243954439692e-01,-1.769801254515313005e-04,-2.243495164316877677e-05,-5.046144223025003650e-03,-6.480867000057770159e-03
2.158539697897468912e+00,9.473407502833433469e+00,1.081634263664942530e+00,-4.797767368598148785e+00,7.850344892938021069e+00,8.766786600669111695e-02,2.724576111693614688e+00,9.093710971440851054e+00,-4.759835499936788672e-01,7.033534454639096545e-01,9.704886821128777541e+00,-4.966292085305349380e-01,1.136014569101486238e+00,1.991803016477596278e-01,2.644895241377988315e-04,-7.506188549119489073e-01,-2.013815657193607223e-04,-8.308722607262147841e-05,5.563311101072984655e-04,-5.553847088003209531e-03
2.294022892427137528e+00,9.221620103369135180e+00,1.038145967707776895e+00,-4.794670058952269720e+00,7.852429685329775921e+00,1.214572954046999054e-01,2.658960905881391223e+00,9.003861523750805063e+00,-4.766697382311808617e-01,7.847389723376169135e-02,9.593824995218536600e+00,-5.494688310246476082e-01,1.135982114871981530e+00,1.916209166347260240e-01,-6.975193062912186936e-03,-7.609412633062062614e-01,-1.630280005595619031e-04,-1.313815569184417775e-04,7.270190853174356843e-03,-4.157989241289194310e-03
2.758577970916394673e+00,9.439758827849953349e+00,1.064839759620102022e+00,-4.822548281670209214e+00,8.231160520101290956e+00,1.285716463955088873e-01,2.416893797666194388e+00,9.299587019065192806e+00,-4.375753982974469047e-01,2.366548349462140877e-01,9.500244557752278496e+00,-5.797979154500660925e-01,1.135877276644284617e+00,1.839585156115796649e-01,-1.395440522958947549e-02,-7.717332341715369415e-01,-5.803114841784751121e-05,-1.696521146756294063e-04,1.366158729417623827e-02,-3.881711720348277050e-03
2.579945825823462879e+00,9.444145522532499726e+00,1.052238861820571802e+00,-5.182451577620917682e+00,8.027158113131967809e+00,1.701506892922227954e-01,1.901870506144609729e+00,9.252003399139256956e+00,-4.802118340399645358e-01,-4.635617483882364942e-01,9.625514924963006536e+00,-5.617250621806351152e-01,1.135710886207590864e+00,1.761734733610491599e-01,-1.893486043068130092e-02,-7.860125730631303265e-01,1.035520452563609695e-04,-2.214462467043931682e-04,1.833028187625544009e-02,-7.541819846328699783e-03
2.441112232147824912e+00,9.524108465119271116e+00,9.763146716467919761e-01,-5.131716431458190009e+00,7.808637902453066104e+00,2.155529528121835348e-01,9.768250893286969383e-01,9.952726365441222356e+00,-4.922426023292604813e-01,-4.580812955835396050e-01,9.530052810543983455e+00,-5.605533564247564549e-01,1.135513587868240526e+00,1.682162572381511734e-01,-1.976368729565314980e-02,-8.065000652206379961e-01,2.958061605868866906e-04,-3.396921459470000904e-04,1.939448230753704899e-02,-1.665833584408846213e-02
2.433317694587652014e+00,9.988983599597251128e+00,9.533436223634055295e-01,-5.052044623062578843e+00,7.595562904275869442e+00,2.082276559721507603e-01,3.101411226018168099e-01,9.692872383223535948e+00,-5.274093064413715171e-01,-1.367494249758190339e+00,9.979235165696367815e+00,-5.343575039886829803e-01,1.135332304963684980e+00,1.600254014951711656e-01,-1.579040697698578383e-02,-8.323383888134838759e-01,4.755932256764738852e-04,-5.560338998203476213e-04,1.590287102241775066e-02,-2.680050738549243777e-02
2.257339920147775736e+00,9.665617846075409858e+00,8.895009324199014689e-01,-5.246113976574573456e+00,7.904132383424895991e+00,2.659217370923143697e-01,1.592117222179725566e-01,9.780753788555832884e+00,-5.753665098910784037e-01,-1.251948935970017329e+00,9.674538424641209389e+00,-5.091024092421071456e-01,1.135207083682830742e+00,1.515678808433498226e-01,-8.932397048201749790e-03,-8.589509202416473199e-01,6.041371240655957209e-04,-8.614764769711708015e-04,9.339995837512965471e-03,-3.250128223517076420e-02
2.785726196810375033e+00,9.522727626402591738e+00,9.050258198437035606e-01,-5.406208766601720228e+00,8.132220399596320703e+00,3.146517579830538369e-01,-1.696108546583931787e-01,9.861892799853915648e+00,-6.458553796696393512e-01,-1.604784814916567104e+00,9.890806298767897076e+00,-4.389336591075128080e-01,1.135156756359882113e+00,1.428566576471380634e-01,-9.584315064054410582e-04,-8.827872408689881878e-01,6.566846844444640396e-04,-1.167024492219705112e-03,8.223262599412750617e-04,-2.610200027945062257e-02
