$\ddot x^0$,$\ddot y^0$,$\omega_z^0$,$\ddot x^1$,$\ddot y^1$,$\omega_z^1$,$\ddot x^2$,$\ddot y^2$,$\omega_z^2$,$\ddot x^3$,$\ddot y^3$,$\omega_z^3$,$\dot x^4$,$\dot y^4$,$\ddot x^4$,$\ddot y^4$,$\dot x^5$,$\dot y^5$,$\ddot x^5$,$\ddot y^5$
1.423091108668725235e+00,9.706609738070357096e+00,1.291048954867351606e+00,-4.753924421916865484e+00,8.133344858235870944e+00,-1.126622661304300249e-01,2.761871377273551253e+00,9.102598116233782122e+00,-4.801130518005986003e-01,1.474290818604528708e+00,9.863712762247816457e+00,-5.777074519844362932e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.446821058801810889e+00,9.933368426628950587e+00,1.274137461308861852e+00,-5.077274838649857180e+00,8.042369127930566464e+00,-1.317908277571327447e-01,2.832651476314491212e+00,8.889276632722927118e+00,-4.593261273269029221e-01,9.360810431704346124e-01,9.735513993719402848e+00,-5.517720759179814971e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.544777151695509332e+00,9.747876539597086776e+00,1.224161097221582617e+00,-4.882919760020468125e+00,8.095659809777766114e+00,-8.202227039816618881e-02,2.283709305759703767e+00,9.260047283419170938e+00,-4.707031242054364184e-01,6.381677242289706120e-01,9.720870356843388294e+00,-6.029832505922041452e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.167179152036195378e+00,9.969009347756861317e+00,1.228721608228376949e+00,-5.213592917434159979e+00,8.165830425187815322e+00,-2.476833829075653082e-02,1.768716063293123586e+00,9.189615796221630717e+00,-4.351635892827769858e-01,2.861636887492000070e-02,9.760507702450247791e+00,-5.701700105659693874e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.072558808595845958e+00,9.923690474720059385e+00,1.224260210351477918e+00,-5.141169500006887993e+00,7.890056443514088969e+00,-2.408856873809272700e-02,1.774674038668135889e+00,9.129997747257856844e+00,-4.881669280737834238e-01,-2.154338362660870865e-01,9.462825597883659512e+00,-5.660420090669409099e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.748463192620695050e+00,9.591891920677417360e+00,1.179358037519052660e+00,-5.090555423003629620e+00,8.360173218345986257e+00,-1.794062701385014391e-02,1.846133940937908280e+00,9.326755464612919155e+00,-4.670143245108787644e-01,-2.386457028936596614e-01,9.534748794534978700e+00,-5.317077458603786111e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.183108731682531722e+00,9.717217209154762614e+00,1.160763619318106565e+00,-4.871288018519569718e+00,8.171327454727210338e+00,2.944819816293001852e-02,2.154394457653362682e+00,9.546281530424071349e+00,-5.327693333616266846e-01,-6.903686749530796307e-02,1.016306969030770624e+01,-5.438580617417401175e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.919611857052744064e+00,9.397608747760592962e+00,1.119575589268491767e+00,-4.780081084590330320e+00,7.963589917805243168e+00,5.573681914965152723e-02,2.354336197152783416e+00,9.104779389439691784e+00,-5.359181839118491997e-01,5.164286249811238516e-01,9.906707470934065896e+00,-5.195149537730558986e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.190651801734210480e+00,9.533013325314843911e+00,1.079484671894637593e+00,-4.744815316223549573e+00,7.949365300854025485e+00,7.103733329798504748e-02,2.552159427081916565e+00,9.119544793921990689e+00,-4.980200164961000597e-01,5.398004316530575775e-01,9.986230352338472116e+00,-5.479710343846179166e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.158539697897468912e+00,9.473407502833433469e+00,1.081634263664942530e+00,-4.797767368598148785e+00,7.850344892938021069e+00,8.766786600669111695e-02,2.724576111693614688e+00,9.093710971440851054e+00,-4.759835499936788672e-01,7.033534454639096545e-01,9.704886821128777541e+00,-4.966292085305349380e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
