$x_H$,$y_H$,$\varphi_0$,$\varphi_1$,$\varphi_2$,$\varphi_3$,$\dot x_H$,$\dot y_H$,$\dot \varphi_0$,$\dot \varphi_1$,$\dot \varphi_2$,$\dot \varphi_3$,$\ddot x_H$,$\ddot y_H$,$\ddot \varphi_0$,$\ddot \varphi_1$,$\ddot \varphi_2$,$\ddot \varphi_3 $
1.362967789173126221e-01,1.082265019416809082e+00,2.594913840293884277e-01,-7.491719722747802734e-01,2.633672356605529785e-01,-2.237620800733566284e-01,5.679032802581787109e-01,7.646547257900238037e-02,1.192242980003356934e+00,-1.208235740661621094e+00,-4.844015836715698242e-01,-7.268362492322921753e-02,8.277707763681974029e-08,-5.941852554678916931e-02,-2.934791564941406250e+00,5.970557212829589844e+00,-2.202579021453857422e+00,4.041596412658691406e+00
1.419758200645446777e-01,1.083026766777038574e+00,2.712673246860504150e-01,-7.609563469886779785e-01,2.584132552146911621e-01,-2.242872416973114014e-01,5.679032802581787109e-01,7.581833004951477051e-02,1.163105964660644531e+00,-1.148957252502441406e+00,-5.058928728103637695e-01,-3.326829150319099426e-02,9.574586101734894328e-08,-9.317595511674880981e-02,-2.834451675415039062e+00,5.773367881774902344e+00,-1.888979673385620117e+00,3.468513011932373047e+00
1.476548463106155396e-01,1.083778738975524902e+00,2.827607095241546631e-01,-7.721650600433349609e-01,2.532734870910644531e-01,-2.244711816310882568e-01,5.679032802581787109e-01,7.439079135656356812e-02,1.136083722114562988e+00,-1.093786239624023438e+00,-5.203073024749755859e-01,-6.694564595818519592e-03,1.041283468339315732e-07,-2.121838778257369995e-01,-2.520257472991943359e+00,5.165311336517333984e+00,-8.192872405052185059e-01,1.531124830245971680e+00
1.533338874578475952e-01,1.084509372711181641e+00,2.940025031566619873e-01,-7.828581333160400391e-01,2.480533868074417114e-01,-2.245048880577087402e-01,5.679032802581787109e-01,7.148292660713195801e-02,1.112929224967956543e+00,-1.046093225479125977e+00,-5.214774012565612793e-01,-4.089679569005966187e-03,1.043440391867989092e-07,-3.611266314983367920e-01,-2.131721258163452148e+00,4.412854671478271484e+00,5.110629200935363770e-01,-8.757584095001220703e-01
1.590129137039184570e-01,1.085204005241394043e+00,3.050307333469390869e-01,-7.931091785430908203e-01,2.428830116987228394e-01,-2.246236503124237061e-01,5.679032802581787109e-01,6.726016849279403687e-02,1.093216538429260254e+00,-1.005092144012451172e+00,-5.109034776687622070e-01,-2.272946201264858246e-02,9.182257798556747730e-08,-4.727321863174438477e-01,-1.837556242942810059e+00,3.837623596191406250e+00,1.510058283805847168e+00,-2.682597875595092773e+00
1.646919548511505127e-01,1.085851669311523438e+00,3.158746361732482910e-01,-8.029754161834716797e-01,2.378615885972976685e-01,-2.250069826841354370e-01,5.679032802581787109e-01,6.216558441519737244e-02,1.075837016105651855e+00,-9.686990976333618164e-01,-4.924941360950469971e-01,-5.553597211837768555e-02,6.101696214955154574e-08,-5.272827744483947754e-01,-1.684899091720581055e+00,3.528649330139160156e+00,2.001300573348999023e+00,-3.569809913635253906e+00
1.703709810972213745e-01,1.086447000503540039e+00,3.265491127967834473e-01,-8.124869465827941895e-01,2.330368310213088989e-01,-2.257409989833831787e-01,5.679032802581787109e-01,5.692505836486816406e-02,1.059001684188842773e+00,-9.335460066795349121e-01,-4.727763533592224121e-01,-9.068498760461807251e-02,5.548264958576965000e-09,-5.003729462623596191e-01,-1.732025623321533203e+00,3.595657110214233398e+00,1.757882714271545410e+00,-3.125776290893554688e+00
1.760500073432922363e-01,1.086992621421813965e+00,3.370492756366729736e-01,-8.216369152069091797e-01,2.283838540315628052e-01,-2.267803251743316650e-01,5.679032802581787109e-01,5.239026248455047607e-02,1.040632009506225586e+00,-8.957254886627197266e-01,-4.594268798828125000e-01,-1.142616793513298035e-01,-8.148131769303290639e-08,-3.869495987892150879e-01,-1.989253282546997070e+00,4.057176113128662109e+00,7.359856367111206055e-01,-1.270261645317077637e+00
1.817290484905242920e-01,1.087500095367431641e+00,3.473494052886962891e-01,-8.303790092468261719e-01,2.238002121448516846e-01,-2.279389500617980957e-01,5.679032802581787109e-01,4.942611977458000183e-02,1.018638253211975098e+00,-8.513189554214477539e-01,-4.602119624614715576e-01,-1.121801808476448059e-01,-2.069260460757504916e-07,-1.853440105915069580e-01,-2.458800792694091797e+00,4.916383266448974609e+00,-1.078562378883361816e+00,2.023323059082031250e+00
1.874080747365951538e-01,1.087989568710327148e+00,3.574024438858032227e-01,-8.386272192001342773e-01,2.191041857004165649e-01,-2.288870066404342651e-01,5.679032802581787109e-01,4.889880865812301636e-02,9.909386038780212402e-01,-7.964308857917785645e-01,-4.829474389553070068e-01,-7.025699317455291748e-02,-3.767346754557365784e-07,7.628802210092544556e-02,-3.072605848312377930e+00,6.044675827026367188e+00,-3.437300205230712891e+00,6.304950714111328125e+00
1.930871158838272095e-01,1.088486433029174805e+00,3.671485483646392822e-01,-8.462716341018676758e-01,2.140657007694244385e-01,-2.292068898677825928e-01,5.679032802581787109e-01,5.085700750350952148e-02,9.574104547500610352e-01,-7.308547496795654297e-01,-5.281423330307006836e-01,1.244348753243684769e-02,-5.947140380158089101e-07,2.876326143741607666e-01,-3.567507505416870117e+00,6.947051525115966797e+00,-5.365572929382324219e+00,9.807195663452148438e+00
1.987661421298980713e-01,1.089011192321777344e+00,3.765401244163513184e-01,-8.532255291938781738e-01,2.084985673427581787e-01,-2.285603880882263184e-01,5.679032802581787109e-01,5.425143614411354065e-02,9.205335974693298340e-01,-6.592712402343750000e-01,-5.868426561355590820e-01,1.196945533156394958e-01,-8.608757866568339523e-07,3.746148347854614258e-01,-3.768761396408081055e+00,7.296040058135986328e+00,-6.227478504180908203e+00,1.137628269195556641e+01
2.044451832771301270e-01,1.089572787284851074e+00,3.855562806129455566e-01,-8.594525456428527832e-01,2.023143172264099121e-01,-2.267864793539047241e-01,5.679032206535339355e-01,5.808753520250320435e-02,8.826500177383422852e-01,-5.860909223556518555e-01,-6.503714323043823242e-01,2.357584536075592041e-01,-1.169326651506708004e-06,3.850988745689392090e-01,-3.790636301040649414e+00,7.307613849639892578e+00,-6.406796932220458984e+00,1.170648097991943359e+01
2.101242095232009888e-01,1.090172529220581055e+00,3.941942155361175537e-01,-8.649503588676452637e-01,1.954926699399948120e-01,-2.238478660583496094e-01,5.679032206535339355e-01,6.180172786116600037e-02,8.450709581375122070e-01,-5.137736201286315918e-01,-7.135465741157531738e-01,3.512192368507385254e-01,-1.505699970039131586e-06,3.391872942447662354e-01,-3.682218313217163086e+00,7.075903892517089844e+00,-6.061136722564697266e+00,1.108170127868652344e+01
2.158032357692718506e-01,1.090805172920227051e+00,4.024661183357238770e-01,-8.697446584701538086e-01,1.880735605955123901e-01,-2.198168337345123291e-01,5.679032206535339355e-01,6.450137495994567871e-02,8.098619580268859863e-01,-4.461660087108612061e-01,-7.682551145553588867e-01,4.513181149959564209e-01,-1.844225721470138524e-06,1.917312294244766235e-01,-3.338934183120727539e+00,6.407456398010253906e+00,-4.792955398559570312e+00,8.778356552124023438e+00
2.214822769165039062e-01,1.091456532478332520e+00,4.104053974151611328e-01,-8.739005923271179199e-01,1.801804751157760620e-01,-2.149176746606826782e-01,5.679032206535339355e-01,6.543745845556259155e-02,7.787475585937500000e-01,-3.864657878875732422e-01,-8.074620366096496582e-01,5.232422947883605957e-01,-2.144532572856405750e-06,-2.005687216296792030e-03,-2.890178680419921875e+00,5.544507980346679688e+00,-3.062620878219604492e+00,5.631772994995117188e+00
2.271613031625747681e-01,1.092107892036437988e+00,4.180551767349243164e-01,-8.775011301040649414e-01,1.719800978899002075e-01,-2.094534933567047119e-01,5.679031610488891602e-01,6.452497839927673340e-02,7.518996596336364746e-01,-3.349716365337371826e-01,-8.298529386520385742e-01,5.645682215690612793e-01,-2.348491989323520102e-06,-1.826632022857666016e-01,-2.474638462066650391e+00,4.745907306671142578e+00,-1.384766697883605957e+00,2.576813936233520508e+00
2.328403443098068237e-01,1.092740654945373535e+00,4.254579544067382812e-01,-8.806278705596923828e-01,1.636440008878707886e-01,-2.037367075681686401e-01,5.679031610488891602e-01,6.171622127294540405e-02,7.294036149978637695e-01,-2.918104529380798340e-01,-8.341907858848571777e-01,5.730013251304626465e-01,-2.377459168201312423e-06,-3.798256814479827881e-01,-2.023078918457031250e+00,3.883884191513061523e+00,5.335639119148254395e-01,-9.204565882682800293e-01
2.385193705558776855e-01,1.093335509300231934e+00,4.326585829257965088e-01,-8.833665251731872559e-01,1.553630828857421875e-01,-1.981153190135955811e-01,5.679031014442443848e-01,5.690167844295501709e-02,7.114921808242797852e-01,-2.573814094066619873e-01,-8.185693025588989258e-01,5.450266599655151367e-01,-2.130495886376593262e-06,-5.808983445167541504e-01,-1.564440488815307617e+00,3.011797428131103516e+00,2.576080322265625000e+00,-4.648051261901855469e+00
2.441983968019485474e-01,1.093872427940368652e+00,4.397020041942596436e-01,-8.858025670051574707e-01,1.473376452922821045e-01,-1.929549127817153931e-01,5.679031014442443848e-01,5.020430684089660645e-02,6.978605985641479492e-01,-2.310951799154281616e-01,-7.833840250968933105e-01,4.813292920589447021e-01,-1.484326389800116885e-06,-7.548832893371582031e-01,-1.170580267906188965e+00,2.261565208435058594e+00,4.427601814270019531e+00,-8.030714035034179688e+00
2.498774379491806030e-01,1.094334721565246582e+00,4.466266334056854248e-01,-8.880091905593872070e-01,1.397483646869659424e-01,-1.885855793952941895e-01,5.679031014442443848e-01,4.204123839735984802e-02,6.875216364860534668e-01,-2.111147940158843994e-01,-7.321614623069763184e-01,3.883138298988342285e-01,-2.960224492198904045e-07,-8.744699358940124512e-01,-9.048659205436706543e-01,1.748592376708984375e+00,5.784701824188232422e+00,-1.051363277435302734e+01
2.555564641952514648e-01,1.094710469245910645e+00,4.534584879875183105e-01,-8.900368213653564453e-01,1.327279508113861084e-01,-1.852500587701797485e-01,5.679031014442443848e-01,3.302277624607086182e-02,6.790400743484497070e-01,-1.947941482067108154e-01,-6.707313656806945801e-01,2.766034901142120361e-01,1.590462602507614065e-06,-9.261949658393859863e-01,-7.985411882400512695e-01,1.528507351875305176e+00,6.468349456787109375e+00,-1.176819515228271484e+01
2.612355053424835205e-01,1.094995379447937012e+00,4.602065682411193848e-01,-8.919043540954589844e-01,1.263360083103179932e-01,-1.830578446388244629e-01,5.679031610488891602e-01,2.403747849166393280e-02,6.703310608863830566e-01,-1.783165633678436279e-01,-6.084590554237365723e-01,1.632991582155227661e-01,4.332478511059889570e-06,-8.701194524765014648e-01,-9.450113177299499512e-01,1.770187020301818848e+00,5.977754592895507812e+00,-1.087738609313964844e+01
2.669145166873931885e-01,1.095195174217224121e+00,4.668554961681365967e-01,-8.935864567756652832e-01,1.205196529626846313e-01,-1.819127649068832397e-01,5.679032206535339355e-01,1.621757447719573975e-02,6.587390899658203125e-01,-1.568428575992584229e-01,-5.578795075416564941e-01,7.131377607583999634e-02,8.087957212410401553e-06,-6.938612461090087891e-01,-1.373390555381774902e+00,2.524552345275878906e+00,4.138158321380615234e+00,-7.519690036773681641e+00
2.725935578346252441e-01,1.095327258110046387e+00,4.733629822731018066e-01,-8.950086236000061035e-01,1.150969639420509338e-01,-1.814827769994735718e-01,5.679032802581787109e-01,1.069177687168121338e-02,6.416146755218505859e-01,-1.255633383989334106e-01,-5.318358540534973145e-01,2.414169162511825562e-02,1.294268713536439463e-05,-4.095823168754577637e-01,-2.055521249771118164e+00,3.738656044006347656e+00,1.050739169120788574e+00,-1.878446698188781738e+00
2.782725989818572998e-01,1.095418095588684082e+00,4.796657860279083252e-01,-8.960586190223693848e-01,1.097835004329681396e-01,-1.812482178211212158e-01,5.679034590721130371e-01,7.908414117991924286e-03,6.178992390632629395e-01,-8.256798237562179565e-02,-5.355730652809143066e-01,3.138802200555801392e-02,1.889757550088688731e-05,-1.480190604925155640e-01,-2.685424327850341797e+00,4.856476783752441406e+00,-1.787966489791870117e+00,3.309084415435791016e+00
2.839516401290893555e-01,1.095492362976074219e+00,4.857042729854583740e-01,-8.966305851936340332e-01,1.043105795979499817e-01,-1.807181388139724731e-01,5.679036974906921387e-01,7.148942444473505020e-03,5.892638564109802246e-01,-3.089731372892856598e-02,-5.614176392555236816e-01,7.902432233095169067e-02,2.582778142823372036e-05,-1.131588965654373169e-02,-3.024309873580932617e+00,5.446186542510986328e+00,-3.302030563354492188e+00,6.073835372924804688e+00
2.896306514739990234e-01,1.095563530921936035e+00,4.914448261260986328e-01,-8.966660499572753906e-01,9.852756559848785400e-02,-1.796174645423889160e-01,5.679039955139160156e-01,7.055302150547504425e-03,5.588762760162353516e-01,2.370801009237766266e-02,-5.950189828872680664e-01,1.407973468303680420e-01,3.341839328641071916e-05,-1.858813874423503876e-02,-3.027110099792480469e+00,5.427667617797851562e+00,-3.300658702850341797e+00,6.065607547760009766e+00
2.953096926212310791e-01,1.095631957054138184e+00,4.968846142292022705e-01,-8.961623311042785645e-01,9.242384880781173706e-02,-1.779273599386215210e-01,5.679043531417846680e-01,6.492217537015676498e-03,5.293875336647033691e-01,7.645089179277420044e-02,-6.242475509643554688e-01,1.945114284753799438e-01,4.109764267923310399e-05,-1.005435883998870850e-01,-2.855422973632812500e+00,5.093355655670166016e+00,-2.472201347351074219e+00,4.543897628784179688e+00
